,30001（Wh）,30011（Wh）,30021（Wh）,30031（Wh）,date,30101:電力量（Wh）,30101:回生電力量（Wh）,cloud(%),solar(W/m2),telop_code,telop_name
2022-03-01 00:00:00+09:00,0,0,0,0,1/3/2022 0:00,50201,0,,,,
2022-03-01 00:30:00+09:00,0,0,0,0,1/3/2022 0:30,52129,0,,,,
2022-03-01 01:00:00+09:00,0,0,0,0,1/3/2022 1:00,53018,0,,,,
2022-03-01 01:30:00+09:00,0,0,0,0,1/3/2022 1:30,37823,0,,,,
2022-03-01 02:00:00+09:00,0,0,0,0,1/3/2022 2:00,3897,0,,,,
2022-03-01 02:30:00+09:00,0,0,0,0,1/3/2022 2:30,3182,0,,,,
2022-03-01 03:00:00+09:00,0,0,0,0,1/3/2022 3:00,3190,0,,,,
2022-03-01 03:30:00+09:00,0,0,0,0,1/3/2022 3:30,3207,0,,,,
2022-03-01 04:00:00+09:00,0,0,0,0,1/3/2022 4:00,3206,0,,,,
2022-03-01 04:30:00+09:00,0,0,0,0,1/3/2022 4:30,3223,0,,,,
2022-03-01 05:00:00+09:00,0,0,0,0,1/3/2022 5:00,3285,0,,,,
2022-03-01 05:30:00+09:00,0,0,0,0,1/3/2022 5:30,3282,0,,,,
2022-03-01 06:00:00+09:00,0,0,0,0,1/3/2022 6:00,3416,0,,,,
2022-03-01 06:30:00+09:00,150,140,140,130,1/3/2022 6:30,6799,0,,,,
2022-03-01 07:00:00+09:00,2070,1920,1930,1810,1/3/2022 7:00,22814,299,,,,
2022-03-01 07:30:00+09:00,3160,2920,2850,2580,1/3/2022 7:30,64679,0,,,,
2022-03-01 08:00:00+09:00,3490,3190,3200,3040,1/3/2022 8:00,59703,0,,,,
2022-03-01 08:30:00+09:00,5610,5130,5120,4920,1/3/2022 8:30,60072,0,,,,
2022-03-01 09:00:00+09:00,3470,3180,3180,3050,1/3/2022 9:00,71772,0,,,,
2022-03-01 09:30:00+09:00,4420,4040,4030,3800,1/3/2022 9:30,65680,0,,,,
2022-03-01 10:00:00+09:00,8920,8140,8120,7570,1/3/2022 10:00,40082,0,,,,
2022-03-01 10:30:00+09:00,5420,4940,4910,4480,1/3/2022 10:30,55286,0,,,,
2022-03-01 11:00:00+09:00,2070,1890,1900,1790,1/3/2022 11:00,64700,0,,,,
2022-03-01 11:30:00+09:00,3500,3210,3210,3030,1/3/2022 11:30,60661,0,,,,
2022-03-01 12:00:00+09:00,5920,5420,5360,5040,1/3/2022 12:00,47782,0,,,,
2022-03-01 12:30:00+09:00,7030,6410,6400,6160,1/3/2022 12:30,47023,0,,,,
2022-03-01 13:00:00+09:00,7240,6590,6550,6240,1/3/2022 13:00,41783,0,,,,
2022-03-01 13:30:00+09:00,3770,3450,3420,3190,1/3/2022 13:30,58229,0,,,,
2022-03-01 14:00:00+09:00,3150,2890,2890,2760,1/3/2022 14:00,54504,0,,,,
2022-03-01 14:30:00+09:00,3600,3300,3290,3110,1/3/2022 14:30,55469,0,,,,
2022-03-01 15:00:00+09:00,4710,4290,4210,3910,1/3/2022 15:00,49641,0,,,,
2022-03-01 15:30:00+09:00,1310,1200,1210,1130,1/3/2022 15:30,60161,0,,,,
2022-03-01 16:00:00+09:00,630,600,590,530,1/3/2022 16:00,63197,0,,,,
