,30001（Wh）,30011（Wh）,date,30101:電力量（Wh）,30101:回生電力量（Wh）,,cloud(%),solar(W/m2),telop_code,telop_name
2022-03-01 00:00:00+09:00,0,0,2022-03-01 00:00:00,2695,0,,,,,
2022-03-01 00:30:00+09:00,0,0,2022-03-01 00:30:00,2673,0,,,,,
2022-03-01 01:00:00+09:00,0,0,2022-03-01 01:00:00,2635,0,,,,,
2022-03-01 01:30:00+09:00,0,0,2022-03-01 01:30:00,2623,0,,,,,
2022-03-01 02:00:00+09:00,0,0,2022-03-01 02:00:00,2706,0,,,,,
2022-03-01 02:30:00+09:00,0,0,2022-03-01 02:30:00,2666,0,,,,,
2022-03-01 03:00:00+09:00,0,0,2022-03-01 03:00:00,2682,0,,,,,
2022-03-01 03:30:00+09:00,0,0,2022-03-01 03:30:00,2701,0,,,,,
2022-03-01 04:00:00+09:00,0,0,2022-03-01 04:00:00,2721,0,,,,,
2022-03-01 04:30:00+09:00,0,0,2022-03-01 04:30:00,2644,0,,,,,
2022-03-01 05:00:00+09:00,0,0,2022-03-01 05:00:00,2732,0,,,,,
2022-03-01 05:30:00+09:00,0,0,2022-03-01 05:30:00,2700,0,,,,,
2022-03-01 06:00:00+09:00,0,0,2022-03-01 06:00:00,3534,0,,,,,
2022-03-01 06:30:00+09:00,320,320,2022-03-01 06:30:00,10732,0,,,,,
2022-03-01 07:00:00+09:00,1160,4230,2022-03-01 07:00:00,6252,0,,,,,
2022-03-01 07:30:00+09:00,1900,7190,2022-03-01 07:30:00,2645,0,,,,,
2022-03-01 08:00:00+09:00,2380,8960,2022-03-01 08:00:00,851,380,,,,,
2022-03-01 08:30:00+09:00,3740,13610,2022-03-01 08:30:00,7853,4397,,,,,
2022-03-01 09:00:00+09:00,3980,14280,2022-03-01 09:00:00,54798,0,,,,,
2022-03-01 09:30:00+09:00,4640,16910,2022-03-01 09:30:00,38858,0,,,,,
2022-03-01 10:00:00+09:00,8700,33040,2022-03-01 10:00:00,14197,385,,,,,
2022-03-01 10:30:00+09:00,7400,27980,2022-03-01 10:30:00,17720,534,,,,,
2022-03-01 11:00:00+09:00,2750,9510,2022-03-01 11:00:00,37978,0,,,,,
2022-03-01 11:30:00+09:00,5790,21480,2022-03-01 11:30:00,23379,16,,,,,
2022-03-01 12:00:00+09:00,6220,23200,2022-03-01 12:00:00,19318,44,,,,,
2022-03-01 12:30:00+09:00,5210,19230,2022-03-01 12:30:00,24154,264,,,,,
2022-03-01 13:00:00+09:00,7650,28830,2022-03-01 13:00:00,13361,1982,,,,,
2022-03-01 13:30:00+09:00,3150,11110,2022-03-01 13:30:00,32259,0,,,,,
2022-03-01 14:00:00+09:00,3080,10830,2022-03-01 14:00:00,34817,0,,,,,
2022-03-01 14:30:00+09:00,2580,8850,2022-03-01 14:30:00,36539,0,,,,,
2022-03-01 15:00:00+09:00,4060,14680,2022-03-01 15:00:00,28861,0,,,,,
2022-03-01 15:30:00+09:00,1880,6120,2022-03-01 15:30:00,38653,0,,,,,
2022-03-01 16:00:00+09:00,970,2530,2022-03-01 16:00:00,45984,0,,,,,
2022-03-01 16:30:00+09:00,810,1920,2022-03-01 16:30:00,46009,0,,,,,
2022-03-01 17:00:00+09:00,260,250,2022-03-01 17:00:00,50329,0,,,,,
2022-03-01 17:30:00+09:00,0,0,2022-03-01 17:30:00,48213,0,,,,,
2022-03-01 18:00:00+09:00,0,0,2022-03-01 18:00:00,48969,0,,,,,
2022-03-01 18:30:00+09:00,0,0,2022-03-01 18:30:00,48898,0,,,,,
2022-03-01 19:00:00+09:00,0,0,2022-03-01 19:00:00,15144,0,,,,,
2022-03-01 19:30:00+09:00,0,0,2022-03-01 19:30:00,3021,0,,,,,
2022-03-01 20:00:00+09:00,0,0,2022-03-01 20:00:00,2677,0,,,,,
2022-03-01 20:30:00+09:00,0,0,2022-03-01 20:30:00,2672,0,,,,,
2022-03-01 21:00:00+09:00,0,0,2022-03-01 21:00:00,2681,0,,,,,
2022-03-01 21:30:00+09:00,0,0,2022-03-01 21:30:00,2640,0,,,,,
2022-03-01 22:00:00+09:00,0,0,2022-03-01 22:00:00,2660,0,,,,,
2022-03-01 22:30:00+09:00,0,0,2022-03-01 22:30:00,2609,0,,,,,
2022-03-01 23:00:00+09:00,0,0,2022-03-01 23:00:00,2645,0,,,,,
2022-03-01 23:30:00+09:00,0,0,2022-03-01 23:30:00,2780,0,,,,,
2022-03-02 00:00:00+09:00,0,0,2022-03-02 00:00:00,2868,0,,,,,
2022-03-02 00:30:00+09:00,0,0,2022-03-02 00:30:00,2731,0,,,,,
2022-03-02 01:00:00+09:00,0,0,2022-03-02 01:00:00,2717,0,,,,,
2022-03-02 01:30:00+09:00,0,0,2022-03-02 01:30:00,2713,0,,,,,
2022-03-02 02:00:00+09:00,0,0,2022-03-02 02:00:00,2719,0,,,,,
2022-03-02 02:30:00+09:00,0,0,2022-03-02 02:30:00,2736,0,,,,,
2022-03-02 03:00:00+09:00,0,0,2022-03-02 03:00:00,2711,0,,,,,
2022-03-02 03:30:00+09:00,0,0,2022-03-02 03:30:00,2734,0,,,,,
2022-03-02 04:00:00+09:00,0,0,2022-03-02 04:00:00,2682,0,,,,,
2022-03-02 04:30:00+09:00,0,0,2022-03-02 04:30:00,2653,0,,,,,
2022-03-02 05:00:00+09:00,0,0,2022-03-02 05:00:00,2759,0,,,,,
2022-03-02 05:30:00+09:00,0,0,2022-03-02 05:30:00,2658,0,,,,,
2022-03-02 06:00:00+09:00,10,0,2022-03-02 06:00:00,3995,0,,,,,
2022-03-02 06:30:00+09:00,710,2070,2022-03-02 06:30:00,8603,0,,,,,
2022-03-02 07:00:00+09:00,2850,11510,2022-03-02 07:00:00,594,3100,,,,,
2022-03-02 07:30:00+09:00,6030,24470,2022-03-02 07:30:00,0,18455,,,,,
2022-03-02 08:00:00+09:00,9430,38450,2022-03-02 08:00:00,0,35419,,,,,
2022-03-02 08:30:00+09:00,13210,53500,2022-03-02 08:30:00,0,49120,,,,,
2022-03-02 09:00:00+09:00,13560,54090,2022-03-02 09:00:00,7089,11701,,,,,
2022-03-02 09:30:00+09:00,13430,53200,2022-03-02 09:30:00,2660,19809,,,,,
2022-03-02 10:00:00+09:00,14460,56160,2022-03-02 10:00:00,0,25607,,,,,
2022-03-02 10:30:00+09:00,16340,64160,2022-03-02 10:30:00,0,37153,,,,,
2022-03-02 11:00:00+09:00,22500,88430,2022-03-02 11:00:00,0,68915,,,,,
2022-03-02 11:30:00+09:00,21810,86250,2022-03-02 11:30:00,0,67467,,,,,
2022-03-02 12:00:00+09:00,15110,58330,2022-03-02 12:00:00,0,32442,,,,,
2022-03-02 12:30:00+09:00,15670,60850,2022-03-02 12:30:00,5,37291,,,,,
2022-03-02 13:00:00+09:00,8050,30030,2022-03-02 13:00:00,3415,1679,,,,,
