,30001（Wh）,30011（Wh）,30021（Wh）,30031（Wh）,30041（Wh）,date,30101:電力量（Wh）,30101:回生電力量（Wh）,,40001 蓄電（Wh）,40001 放電（Wh）,40201 蓄電（Wh）,40201 放電（Wh）,cloud(%),solar(W/m2),telop_code,telop_name
2022-03-01 00:00:00+09:00,0,0,0,0,0,2022-03-01 00:00:00,34618,0,,,,,,,,,
2022-03-01 00:30:00+09:00,0,0,0,0,0,2022-03-01 00:30:00,33863,0,,,,,,,,,
2022-03-01 01:00:00+09:00,0,0,0,0,0,2022-03-01 01:00:00,32030,0,,,,,,,,,
2022-03-01 01:30:00+09:00,0,0,0,0,0,2022-03-01 01:30:00,32155,0,,,,,,,,,
2022-03-01 02:00:00+09:00,0,0,0,0,0,2022-03-01 02:00:00,30584,0,,,,,,,,,
2022-03-01 02:30:00+09:00,0,0,0,0,0,2022-03-01 02:30:00,30026,0,,,,,,,,,
2022-03-01 03:00:00+09:00,0,0,0,0,0,2022-03-01 03:00:00,29734,0,,,,,,,,,
2022-03-01 03:30:00+09:00,0,0,0,0,0,2022-03-01 03:30:00,30021,0,,,,,,,,,
2022-03-01 04:00:00+09:00,0,0,0,0,0,2022-03-01 04:00:00,28664,0,,,,,,,,,
2022-03-01 04:30:00+09:00,0,0,0,0,0,2022-03-01 04:30:00,32344,0,,,,,,,,,
2022-03-01 05:00:00+09:00,0,0,0,0,0,2022-03-01 05:00:00,31200,0,,,,,,,,,
2022-03-01 05:30:00+09:00,0,0,0,0,0,2022-03-01 05:30:00,35629,0,,,,,,,,,
2022-03-01 06:00:00+09:00,0,3,5,0,0,2022-03-01 06:00:00,47328,0,,,,,,,,,
2022-03-01 06:30:00+09:00,980,43,54,0,0,2022-03-01 06:30:00,50345,0,,,,,,,,,
2022-03-01 07:00:00+09:00,5740,100,195,0,0,2022-03-01 07:00:00,57413,0,,,,,,,,,
2022-03-01 07:30:00+09:00,10470,286,343,0,0,2022-03-01 07:30:00,69781,0,,,,,,,,,
2022-03-01 08:00:00+09:00,14140,470,504,0,0,2022-03-01 08:00:00,59954,0,,,,,,,,,
2022-03-01 08:30:00+09:00,14180,450,512,0,0,2022-03-01 08:30:00,58744,0,,,,,,,,,
2022-03-01 09:00:00+09:00,19570,673,764,0,0,2022-03-01 09:00:00,54299,0,,,,,,,,,
2022-03-01 09:30:00+09:00,15510,536,587,0,0,2022-03-01 09:30:00,62486,0,,,,,,,,,
2022-03-01 10:00:00+09:00,31350,1088,1206,0,0,2022-03-01 10:00:00,41024,0,,,,,,,,,
2022-03-01 10:30:00+09:00,35060,1205,1295,0,0,2022-03-01 10:30:00,43042,0,,,,,,,,,
2022-03-01 11:00:00+09:00,27690,950,1033,0,0,2022-03-01 11:00:00,50045,0,,,,,,,,,
2022-03-01 11:30:00+09:00,33690,1182,1287,0,0,2022-03-01 11:30:00,40614,0,,,,,,,,,
2022-03-01 12:00:00+09:00,36840,1285,1389,0,0,2022-03-01 12:00:00,44253,0,,,,,,,,,
2022-03-01 12:30:00+09:00,35940,1241,1341,0,0,2022-03-01 12:30:00,41142,0,,,,,,,,,
2022-03-01 13:00:00+09:00,33910,1180,1281,0,0,2022-03-01 13:00:00,40087,0,,,,,,,,,
2022-03-01 13:30:00+09:00,30840,1059,1148,0,0,2022-03-01 13:30:00,46914,0,,,,,,,,,
2022-03-01 14:00:00+09:00,29440,1002,1100,0,0,2022-03-01 14:00:00,40286,0,,,,,,,,,
2022-03-01 14:30:00+09:00,18130,620,690,0,0,2022-03-01 14:30:00,52062,0,,,,,,,,,
2022-03-01 15:00:00+09:00,5780,209,227,0,0,2022-03-01 15:00:00,72483,0,,,,,,,,,
2022-03-01 15:30:00+09:00,5270,188,208,0,0,2022-03-01 15:30:00,73602,0,,,,,,,,,
2022-03-01 16:00:00+09:00,4060,155,163,0,0,2022-03-01 16:00:00,74614,0,,,,,,,,,
2022-03-01 16:30:00+09:00,4060,144,155,0,0,2022-03-01 16:30:00,74835,0,,,,,,,,,
2022-03-01 17:00:00+09:00,480,26,33,0,0,2022-03-01 17:00:00,75917,0,,,,,,,,,
2022-03-01 17:30:00+09:00,0,1,0,0,0,2022-03-01 17:30:00,77143,0,,,,,,,,,
2022-03-01 18:00:00+09:00,0,0,0,0,0,2022-03-01 18:00:00,77155,0,,,,,,,,,
2022-03-01 18:30:00+09:00,0,0,0,0,0,2022-03-01 18:30:00,78571,0,,,,,,,,,
2022-03-01 19:00:00+09:00,0,0,0,0,0,2022-03-01 19:00:00,74823,0,,,,,,,,,
2022-03-01 19:30:00+09:00,0,0,0,0,0,2022-03-01 19:30:00,76246,0,,,,,,,,,
2022-03-01 20:00:00+09:00,0,0,0,0,0,2022-03-01 20:00:00,73210,0,,,,,,,,,
2022-03-01 20:30:00+09:00,0,0,0,0,0,2022-03-01 20:30:00,70681,0,,,,,,,,,
2022-03-01 21:00:00+09:00,0,0,0,0,0,2022-03-01 21:00:00,69214,0,,,,,,,,,
2022-03-01 21:30:00+09:00,0,0,0,0,0,2022-03-01 21:30:00,55066,0,,,,,,,,,
2022-03-01 22:00:00+09:00,0,0,0,0,0,2022-03-01 22:00:00,40608,0,,,,,,,,,
2022-03-01 22:30:00+09:00,0,0,0,0,0,2022-03-01 22:30:00,39722,0,,,,,,,,,
2022-03-01 23:00:00+09:00,0,0,0,0,0,2022-03-01 23:00:00,35235,0,,,,,,,,,
2022-03-01 23:30:00+09:00,0,0,0,0,0,2022-03-01 23:30:00,38119,0,,,,,,,,,
2022-03-02 00:00:00+09:00,0,0,0,0,0,2022-03-02 00:00:00,37520,0,,,,,,,,,
2022-03-02 00:30:00+09:00,0,0,0,0,0,2022-03-02 00:30:00,34745,0,,,,,,,,,
2022-03-02 01:00:00+09:00,0,0,0,0,0,2022-03-02 01:00:00,33287,0,,,,,,,,,
2022-03-02 01:30:00+09:00,0,0,0,0,0,2022-03-02 01:30:00,35195,0,,,,,,,,,
2022-03-02 02:00:00+09:00,0,0,0,0,0,2022-03-02 02:00:00,34427,0,,,,,,,,,
2022-03-02 02:30:00+09:00,0,0,0,0,0,2022-03-02 02:30:00,29558,0,,,,,,,,,
2022-03-02 03:00:00+09:00,0,0,0,0,0,2022-03-02 03:00:00,31016,0,,,,,,,,,
2022-03-02 03:30:00+09:00,0,0,0,0,0,2022-03-02 03:30:00,30596,0,,,,,,,,,
2022-03-02 04:00:00+09:00,0,0,0,0,0,2022-03-02 04:00:00,29914,0,,,,,,,,,
2022-03-02 04:30:00+09:00,0,0,0,0,0,2022-03-02 04:30:00,35037,0,,,,,,,,,
2022-03-02 05:00:00+09:00,0,0,0,0,0,2022-03-02 05:00:00,32199,0,,,,,,,,,
2022-03-02 05:30:00+09:00,0,0,0,0,0,2022-03-02 05:30:00,42631,0,,,,,,,,,
2022-03-02 06:00:00+09:00,0,3,5,0,0,2022-03-02 06:00:00,43507,0,,,,,,,,,
2022-03-02 06:30:00+09:00,1230,41,50,0,0,2022-03-02 06:30:00,47388,0,,,,,,,,,
2022-03-02 07:00:00+09:00,5050,89,174,0,0,2022-03-02 07:00:00,70345,0,,,,,,,,,
2022-03-02 07:30:00+09:00,9960,274,348,0,0,2022-03-02 07:30:00,63720,0,,,,,,,,,
2022-03-02 08:00:00+09:00,15380,480,523,0,0,2022-03-02 08:00:00,59701,0,,,,,,,,,
2022-03-02 08:30:00+09:00,20660,641,788,0,0,2022-03-02 08:30:00,51312,0,,,,,,,,,
2022-03-02 09:00:00+09:00,25470,882,987,0,0,2022-03-02 09:00:00,52794,0,,,,,,,,,
2022-03-02 09:30:00+09:00,29590,1050,1140,0,0,2022-03-02 09:30:00,51877,0,,,,,,,,,
2022-03-02 10:00:00+09:00,32750,1165,1258,0,0,2022-03-02 10:00:00,44956,0,,,,,,,,,
2022-03-02 10:30:00+09:00,35100,1246,1346,0,0,2022-03-02 10:30:00,42714,0,,,,,,,,,
2022-03-02 11:00:00+09:00,36690,1311,1413,0,0,2022-03-02 11:00:00,38361,0,,,,,,,,,
2022-03-02 11:30:00+09:00,19160,684,754,0,0,2022-03-02 11:30:00,59746,0,,,,,,,,,
2022-03-02 12:00:00+09:00,37160,1368,1487,0,0,2022-03-02 12:00:00,37405,0,,,,,,,,,
2022-03-02 12:30:00+09:00,34230,1198,1304,0,0,2022-03-02 12:30:00,36684,0,,,,,,,,,
2022-03-02 13:00:00+09:00,9530,338,372,0,0,2022-03-02 13:00:00,59619,0,,,,,,,,,
2022-03-02 13:30:00+09:00,4050,147,162,0,0,2022-03-02 13:30:00,76968,0,,,,,,,,,
2022-03-02 14:00:00+09:00,2590,97,105,0,0,2022-03-02 14:00:00,73255,0,,,,,,,,,
2022-03-02 14:30:00+09:00,7400,268,289,0,0,2022-03-02 14:30:00,69668,0,,,,,,,,,
2022-03-02 15:00:00+09:00,5520,202,221,0,0,2022-03-02 15:00:00,68838,0,,,,,,,,,
2022-03-02 15:30:00+09:00,6480,234,258,0,0,2022-03-02 15:30:00,71678,0,,,,,,,,,
2022-03-02 16:00:00+09:00,4010,146,163,0,0,2022-03-02 16:00:00,73595,0,,,,,,,,,
2022-03-02 16:30:00+09:00,1500,59,61,0,0,2022-03-02 16:30:00,76889,0,,,,,,,,,
2022-03-02 17:00:00+09:00,160,14,14,0,0,2022-03-02 17:00:00,76297,0,,,,,,,,,
2022-03-02 17:30:00+09:00,0,0,0,0,0,2022-03-02 17:30:00,73504,0,,,,,,,,,
2022-03-02 18:00:00+09:00,0,0,0,0,0,2022-03-02 18:00:00,75226,0,,,,,,,,,
2022-03-02 18:30:00+09:00,0,0,0,0,0,2022-03-02 18:30:00,79625,0,,,,,,,,,
