,30001（Wh）,30011（Wh）,date,30101:電力量（Wh）,30101:回生電力量（Wh）,,cloud(%),solar(W/m2),telop_code,telop_name,power_consumption,solar_generation
2022-03-01 00:00:00+09:00,0,0,1/3/2022 0:00,2695,0,,,,,,2695,0
2022-03-01 00:30:00+09:00,0,0,1/3/2022 0:30,2673,0,,,,,,2673,0
2022-03-01 01:00:00+09:00,0,0,1/3/2022 1:00,2635,0,,,,,,2635,0
2022-03-01 01:30:00+09:00,0,0,1/3/2022 1:30,2623,0,,,,,,2623,0
2022-03-01 02:00:00+09:00,0,0,1/3/2022 2:00,2706,0,,,,,,2706,0
2022-03-01 02:30:00+09:00,0,0,1/3/2022 2:30,2666,0,,,,,,2666,0
2022-03-01 03:00:00+09:00,0,0,1/3/2022 3:00,2682,0,,,,,,2682,0
2022-03-01 03:30:00+09:00,0,0,1/3/2022 3:30,2701,0,,,,,,2701,0
2022-03-01 04:00:00+09:00,0,0,1/3/2022 4:00,2721,0,,,,,,2721,0
2022-03-01 04:30:00+09:00,0,0,1/3/2022 4:30,2644,0,,,,,,2644,0
2022-03-01 05:00:00+09:00,0,0,1/3/2022 5:00,2732,0,,,,,,2732,0
2022-03-01 05:30:00+09:00,0,0,1/3/2022 5:30,2700,0,,,,,,2700,0
2022-03-01 06:00:00+09:00,0,0,1/3/2022 6:00,3534,0,,,,,,3534,0
2022-03-01 06:30:00+09:00,320,320,1/3/2022 6:30,10732,0,,,,,,10732,640
2022-03-01 07:00:00+09:00,1160,4230,1/3/2022 7:00,6252,0,,,,,,6252,5390
2022-03-01 07:30:00+09:00,1900,7190,1/3/2022 7:30,2645,0,,,,,,2645,9090
2022-03-01 08:00:00+09:00,2380,8960,1/3/2022 8:00,851,380,,,,,,851,11340
2022-03-01 08:30:00+09:00,3740,13610,1/3/2022 8:30,7853,4397,,,,,,7853,17350
2022-03-01 09:00:00+09:00,3980,14280,1/3/2022 9:00,54798,0,,,,,,54798,18260
2022-03-01 09:30:00+09:00,4640,16910,1/3/2022 9:30,38858,0,,,,,,38858,21550
2022-03-01 10:00:00+09:00,8700,33040,1/3/2022 10:00,14197,385,,,,,,14197,41740
2022-03-01 10:30:00+09:00,7400,27980,1/3/2022 10:30,17720,534,,,,,,17720,35380
2022-03-01 11:00:00+09:00,2750,9510,1/3/2022 11:00,37978,0,,,,,,37978,12260
2022-03-01 11:30:00+09:00,5790,21480,1/3/2022 11:30,23379,16,,,,,,23379,27270
2022-03-01 12:00:00+09:00,6220,23200,1/3/2022 12:00,19318,44,,,,,,19318,29420
2022-03-01 12:30:00+09:00,5210,19230,1/3/2022 12:30,24154,264,,,,,,24154,24440
2022-03-01 13:00:00+09:00,7650,28830,1/3/2022 13:00,13361,1982,,,,,,13361,36480
2022-03-01 13:30:00+09:00,3150,11110,1/3/2022 13:30,32259,0,,,,,,32259,14260
2022-03-01 14:00:00+09:00,3080,10830,1/3/2022 14:00,34817,0,,,,,,34817,13910
2022-03-01 14:30:00+09:00,2580,8850,1/3/2022 14:30,36539,0,,,,,,36539,11430
2022-03-01 15:00:00+09:00,4060,14680,1/3/2022 15:00,28861,0,,,,,,28861,18740
2022-03-01 15:30:00+09:00,1880,6120,1/3/2022 15:30,38653,0,,,,,,38653,8000
2022-03-01 16:00:00+09:00,970,2530,1/3/2022 16:00,45984,0,,,,,,45984,3500
2022-03-01 16:30:00+09:00,810,1920,1/3/2022 16:30,46009,0,,,,,,46009,2730
2022-03-01 17:00:00+09:00,260,250,1/3/2022 17:00,50329,0,,,,,,50329,510
2022-03-01 17:30:00+09:00,0,0,1/3/2022 17:30,48213,0,,,,,,48213,0
2022-03-01 18:00:00+09:00,0,0,1/3/2022 18:00,48969,0,,,,,,48969,0
2022-03-01 18:30:00+09:00,0,0,1/3/2022 18:30,48898,0,,,,,,48898,0
2022-03-01 19:00:00+09:00,0,0,1/3/2022 19:00,15144,0,,,,,,15144,0
2022-03-01 19:30:00+09:00,0,0,1/3/2022 19:30,3021,0,,,,,,3021,0
2022-03-01 20:00:00+09:00,0,0,1/3/2022 20:00,2677,0,,,,,,2677,0
2022-03-01 20:30:00+09:00,0,0,1/3/2022 20:30,2672,0,,,,,,2672,0
2022-03-01 21:00:00+09:00,0,0,1/3/2022 21:00,2681,0,,,,,,2681,0
2022-03-01 21:30:00+09:00,0,0,1/3/2022 21:30,2640,0,,,,,,2640,0
2022-03-01 22:00:00+09:00,0,0,1/3/2022 22:00,2660,0,,,,,,2660,0
2022-03-01 22:30:00+09:00,0,0,1/3/2022 22:30,2609,0,,,,,,2609,0
2022-03-01 23:00:00+09:00,0,0,1/3/2022 23:00,2645,0,,,,,,2645,0
2022-03-01 23:30:00+09:00,0,0,1/3/2022 23:30,2780,0,,,,,,2780,0
2022-03-02 00:00:00+09:00,0,0,2/3/2022 0:00,2868,0,,,,,,2868,0
2022-03-02 00:30:00+09:00,0,0,2/3/2022 0:30,2731,0,,,,,,2731,0
2022-03-02 01:00:00+09:00,0,0,2/3/2022 1:00,2717,0,,,,,,2717,0
2022-03-02 01:30:00+09:00,0,0,2/3/2022 1:30,2713,0,,,,,,2713,0
2022-03-02 02:00:00+09:00,0,0,2/3/2022 2:00,2719,0,,,,,,2719,0
2022-03-02 02:30:00+09:00,0,0,2/3/2022 2:30,2736,0,,,,,,2736,0
2022-03-02 03:00:00+09:00,0,0,2/3/2022 3:00,2711,0,,,,,,2711,0
2022-03-02 03:30:00+09:00,0,0,2/3/2022 3:30,2734,0,,,,,,2734,0
2022-03-02 04:00:00+09:00,0,0,2/3/2022 4:00,2682,0,,,,,,2682,0
2022-03-02 04:30:00+09:00,0,0,2/3/2022 4:30,2653,0,,,,,,2653,0
2022-03-02 05:00:00+09:00,0,0,2/3/2022 5:00,2759,0,,,,,,2759,0
2022-03-02 05:30:00+09:00,0,0,2/3/2022 5:30,2658,0,,,,,,2658,0
2022-03-02 06:00:00+09:00,10,0,2/3/2022 6:00,3995,0,,,,,,3995,10
2022-03-02 06:30:00+09:00,710,2070,2/3/2022 6:30,8603,0,,,,,,8603,2780
2022-03-02 07:00:00+09:00,2850,11510,2/3/2022 7:00,594,3100,,,,,,594,14360
2022-03-02 07:30:00+09:00,6030,24470,2/3/2022 7:30,0,18455,,,,,,0,30500
2022-03-02 08:00:00+09:00,9430,38450,2/3/2022 8:00,0,35419,,,,,,0,47880
2022-03-02 08:30:00+09:00,13210,53500,2/3/2022 8:30,0,49120,,,,,,0,66710
2022-03-02 09:00:00+09:00,13560,54090,2/3/2022 9:00,7089,11701,,,,,,7089,67650
2022-03-02 09:30:00+09:00,13430,53200,2/3/2022 9:30,2660,19809,,,,,,2660,66630
2022-03-02 10:00:00+09:00,14460,56160,2/3/2022 10:00,0,25607,,,,,,0,70620
2022-03-02 10:30:00+09:00,16340,64160,2/3/2022 10:30,0,37153,,,,,,0,80500
2022-03-02 11:00:00+09:00,22500,88430,2/3/2022 11:00,0,68915,,,,,,0,110930
2022-03-02 11:30:00+09:00,21810,86250,2/3/2022 11:30,0,67467,,,,,,0,108060
2022-03-02 12:00:00+09:00,15110,58330,2/3/2022 12:00,0,32442,,,,,,0,73440
2022-03-02 12:30:00+09:00,15670,60850,2/3/2022 12:30,5,37291,,,,,,5,76520
2022-03-02 13:00:00+09:00,8050,30030,2/3/2022 13:00,3415,1679,,,,,,3415,38080
2022-03-02 13:30:00+09:00,15030,56950,2/3/2022 13:30,0,33655,,,,,,0,71980
2022-03-02 14:00:00+09:00,12620,47700,2/3/2022 14:00,0,22787,,,,,,0,60320
2022-03-02 14:30:00+09:00,9760,37030,2/3/2022 14:30,378,7574,,,,,,378,46790
2022-03-02 15:00:00+09:00,10570,39920,2/3/2022 15:00,0,12464,,,,,,0,50490
2022-03-02 15:30:00+09:00,8270,30710,2/3/2022 15:30,147,8059,,,,,,147,38980
2022-03-02 16:00:00+09:00,4620,16490,2/3/2022 16:00,16994,37,,,,,,16994,21110
2022-03-02 16:30:00+09:00,2370,7960,2/3/2022 16:30,33742,0,,,,,,33742,10330
2022-03-02 17:00:00+09:00,680,1410,2/3/2022 17:00,43760,0,,,,,,43760,2090
2022-03-02 17:30:00+09:00,100,10,2/3/2022 17:30,45274,0,,,,,,45274,110
2022-03-02 18:00:00+09:00,0,0,2/3/2022 18:00,46196,0,,,,,,46196,0
2022-03-02 18:30:00+09:00,0,0,2/3/2022 18:30,45516,0,,,,,,45516,0
2022-03-02 19:00:00+09:00,0,0,2/3/2022 19:00,22625,0,,,,,,22625,0
2022-03-02 19:30:00+09:00,0,0,2/3/2022 19:30,2736,0,,,,,,2736,0
2022-03-02 20:00:00+09:00,0,0,2/3/2022 20:00,2642,0,,,,,,2642,0
2022-03-02 20:30:00+09:00,0,0,2/3/2022 20:30,2741,0,,,,,,2741,0
2022-03-02 21:00:00+09:00,0,0,2/3/2022 21:00,2654,0,,,,,,2654,0
2022-03-02 21:30:00+09:00,0,0,2/3/2022 21:30,2637,0,,,,,,2637,0
2022-03-02 22:00:00+09:00,0,0,2/3/2022 22:00,2714,0,,,,,,2714,0
2022-03-02 22:30:00+09:00,0,0,2/3/2022 22:30,2675,0,,,,,,2675,0
2022-03-02 23:00:00+09:00,0,0,2/3/2022 23:00,2640,0,,,,,,2640,0
2022-03-02 23:30:00+09:00,0,0,2/3/2022 23:30,2685,0,,,,,,2685,0
2022-03-03 00:00:00+09:00,0,0,3/3/2022 0:00,2687,0,,,,,,2687,0
2022-03-03 00:30:00+09:00,0,0,3/3/2022 0:30,2714,0,,,,,,2714,0
2022-03-03 01:00:00+09:00,0,0,3/3/2022 1:00,2622,0,,,,,,2622,0
2022-03-03 01:30:00+09:00,0,0,3/3/2022 1:30,2609,0,,,,,,2609,0
2022-03-03 02:00:00+09:00,0,0,3/3/2022 2:00,2647,0,,,,,,2647,0
2022-03-03 02:30:00+09:00,0,0,3/3/2022 2:30,2662,0,,,,,,2662,0
2022-03-03 03:00:00+09:00,0,0,3/3/2022 3:00,2672,0,,,,,,2672,0
2022-03-03 03:30:00+09:00,0,0,3/3/2022 3:30,2718,0,,,,,,2718,0
2022-03-03 04:00:00+09:00,0,0,3/3/2022 4:00,2690,0,,,,,,2690,0
2022-03-03 04:30:00+09:00,0,0,3/3/2022 4:30,2691,0,,,,,,2691,0
2022-03-03 05:00:00+09:00,0,0,3/3/2022 5:00,2731,0,,,,,,2731,0
2022-03-03 05:30:00+09:00,0,0,3/3/2022 5:30,2635,0,,,,,,2635,0
2022-03-03 06:00:00+09:00,20,0,3/3/2022 6:00,3700,0,,,,,,3700,20
2022-03-03 06:30:00+09:00,560,1240,3/3/2022 6:30,9633,0,,,,,,9633,1800
2022-03-03 07:00:00+09:00,1630,6380,3/3/2022 7:00,4541,857,,,,,,4541,8010
2022-03-03 07:30:00+09:00,7130,29260,3/3/2022 7:30,0,24238,,,,,,0,36390
2022-03-03 08:00:00+09:00,10990,45600,3/3/2022 8:00,0,44047,,,,,,0,56590
2022-03-03 08:30:00+09:00,10320,41090,3/3/2022 8:30,3282,37586,,,,,,3282,51410
2022-03-03 09:00:00+09:00,4080,15130,3/3/2022 9:00,34988,0,,,,,,34988,19210
2022-03-03 09:30:00+09:00,7640,28410,3/3/2022 9:30,15571,1646,,,,,,15571,36050
2022-03-03 10:00:00+09:00,13150,52050,3/3/2022 10:00,7522,25927,,,,,,7522,65200
2022-03-03 10:30:00+09:00,18920,75800,3/3/2022 10:30,812,52400,,,,,,812,94720
2022-03-03 11:00:00+09:00,14490,56050,3/3/2022 11:00,429,29236,,,,,,429,70540
2022-03-03 11:30:00+09:00,13640,52960,3/3/2022 11:30,403,25074,,,,,,403,66600
2022-03-03 12:00:00+09:00,5970,22200,3/3/2022 12:00,12569,749,,,,,,12569,28170
2022-03-03 12:30:00+09:00,20080,78250,3/3/2022 12:30,0,55906,,,,,,0,98330
2022-03-03 13:00:00+09:00,11600,43840,3/3/2022 13:00,739,16530,,,,,,739,55440
2022-03-03 13:30:00+09:00,6930,25650,3/3/2022 13:30,10434,3499,,,,,,10434,32580
2022-03-03 14:00:00+09:00,9830,37860,3/3/2022 14:00,3420,12362,,,,,,3420,47690
2022-03-03 14:30:00+09:00,7310,26650,3/3/2022 14:30,9151,4447,,,,,,9151,33960
2022-03-03 15:00:00+09:00,13060,47750,3/3/2022 15:00,1861,23915,,,,,,1861,60810
2022-03-03 15:30:00+09:00,10810,39160,3/3/2022 15:30,5481,16902,,,,,,5481,49970
2022-03-03 16:00:00+09:00,5330,18750,3/3/2022 16:00,17128,2301,,,,,,17128,24080
2022-03-03 16:30:00+09:00,2360,7840,3/3/2022 16:30,29963,0,,,,,,29963,10200
2022-03-03 17:00:00+09:00,1170,3270,3/3/2022 17:00,39854,0,,,,,,39854,4440
2022-03-03 17:30:00+09:00,170,150,3/3/2022 17:30,48340,0,,,,,,48340,320
2022-03-03 18:00:00+09:00,0,0,3/3/2022 18:00,45858,0,,,,,,45858,0
2022-03-03 18:30:00+09:00,0,0,3/3/2022 18:30,46650,0,,,,,,46650,0
2022-03-03 19:00:00+09:00,0,0,3/3/2022 19:00,10379,0,,,,,,10379,0
2022-03-03 19:30:00+09:00,0,0,3/3/2022 19:30,2644,0,,,,,,2644,0
2022-03-03 20:00:00+09:00,0,0,3/3/2022 20:00,2572,0,,,,,,2572,0
2022-03-03 20:30:00+09:00,0,0,3/3/2022 20:30,2630,0,,,,,,2630,0
