,30001（Wh）,30011（Wh）,30021（Wh）,30031（Wh）,30041（Wh）,date,30101:電力量（Wh）,30101:回生電力量（Wh）,,40001 蓄電（Wh）,40001 放電（Wh）,40201 蓄電（Wh）,40201 放電（Wh）,cloud(%),solar(W/m2),telop_code,telop_name,power_consumption,solar_generation,battery
2022-03-01 00:00:00+09:00,0,0,0,0,0,1/3/2022 0:00,34618,0,,,,,,,,,,34618,0,
2022-03-01 00:30:00+09:00,0,0,0,0,0,1/3/2022 0:30,33863,0,,,,,,,,,,33863,0,
2022-03-01 01:00:00+09:00,0,0,0,0,0,1/3/2022 1:00,32030,0,,,,,,,,,,32030,0,
2022-03-01 01:30:00+09:00,0,0,0,0,0,1/3/2022 1:30,32155,0,,,,,,,,,,32155,0,
2022-03-01 02:00:00+09:00,0,0,0,0,0,1/3/2022 2:00,30584,0,,,,,,,,,,30584,0,
2022-03-01 02:30:00+09:00,0,0,0,0,0,1/3/2022 2:30,30026,0,,,,,,,,,,30026,0,
2022-03-01 03:00:00+09:00,0,0,0,0,0,1/3/2022 3:00,29734,0,,,,,,,,,,29734,0,
2022-03-01 03:30:00+09:00,0,0,0,0,0,1/3/2022 3:30,30021,0,,,,,,,,,,30021,0,
2022-03-01 04:00:00+09:00,0,0,0,0,0,1/3/2022 4:00,28664,0,,,,,,,,,,28664,0,
2022-03-01 04:30:00+09:00,0,0,0,0,0,1/3/2022 4:30,32344,0,,,,,,,,,,32344,0,
2022-03-01 05:00:00+09:00,0,0,0,0,0,1/3/2022 5:00,31200,0,,,,,,,,,,31200,0,
2022-03-01 05:30:00+09:00,0,0,0,0,0,1/3/2022 5:30,35629,0,,,,,,,,,,35629,0,
2022-03-01 06:00:00+09:00,0,3,5,0,0,1/3/2022 6:00,47328,0,,,,,,,,,,47328,8,
2022-03-01 06:30:00+09:00,980,43,54,0,0,1/3/2022 6:30,50345,0,,,,,,,,,,50345,1077,
2022-03-01 07:00:00+09:00,5740,100,195,0,0,1/3/2022 7:00,57413,0,,,,,,,,,,57413,6035,
2022-03-01 07:30:00+09:00,10470,286,343,0,0,1/3/2022 7:30,69781,0,,,,,,,,,,69781,11099,
2022-03-01 08:00:00+09:00,14140,470,504,0,0,1/3/2022 8:00,59954,0,,,,,,,,,,59954,15114,
2022-03-01 08:30:00+09:00,14180,450,512,0,0,1/3/2022 8:30,58744,0,,,,,,,,,,58744,15142,
2022-03-01 09:00:00+09:00,19570,673,764,0,0,1/3/2022 9:00,54299,0,,,,,,,,,,54299,21007,
2022-03-01 09:30:00+09:00,15510,536,587,0,0,1/3/2022 9:30,62486,0,,,,,,,,,,62486,16633,
2022-03-01 10:00:00+09:00,31350,1088,1206,0,0,1/3/2022 10:00,41024,0,,,,,,,,,,41024,33644,
2022-03-01 10:30:00+09:00,35060,1205,1295,0,0,1/3/2022 10:30,43042,0,,,,,,,,,,43042,37560,
2022-03-01 11:00:00+09:00,27690,950,1033,0,0,1/3/2022 11:00,50045,0,,,,,,,,,,50045,29673,
2022-03-01 11:30:00+09:00,33690,1182,1287,0,0,1/3/2022 11:30,40614,0,,,,,,,,,,40614,36159,
2022-03-01 12:00:00+09:00,36840,1285,1389,0,0,1/3/2022 12:00,44253,0,,,,,,,,,,44253,39514,
2022-03-01 12:30:00+09:00,35940,1241,1341,0,0,1/3/2022 12:30,41142,0,,,,,,,,,,41142,38522,
2022-03-01 13:00:00+09:00,33910,1180,1281,0,0,1/3/2022 13:00,40087,0,,,,,,,,,,40087,36371,
2022-03-01 13:30:00+09:00,30840,1059,1148,0,0,1/3/2022 13:30,46914,0,,,,,,,,,,46914,33047,
2022-03-01 14:00:00+09:00,29440,1002,1100,0,0,1/3/2022 14:00,40286,0,,,,,,,,,,40286,31542,
2022-03-01 14:30:00+09:00,18130,620,690,0,0,1/3/2022 14:30,52062,0,,,,,,,,,,52062,19440,
2022-03-01 15:00:00+09:00,5780,209,227,0,0,1/3/2022 15:00,72483,0,,,,,,,,,,72483,6216,
2022-03-01 15:30:00+09:00,5270,188,208,0,0,1/3/2022 15:30,73602,0,,,,,,,,,,73602,5666,
2022-03-01 16:00:00+09:00,4060,155,163,0,0,1/3/2022 16:00,74614,0,,,,,,,,,,74614,4378,
2022-03-01 16:30:00+09:00,4060,144,155,0,0,1/3/2022 16:30,74835,0,,,,,,,,,,74835,4359,
2022-03-01 17:00:00+09:00,480,26,33,0,0,1/3/2022 17:00,75917,0,,,,,,,,,,75917,539,
2022-03-01 17:30:00+09:00,0,1,0,0,0,1/3/2022 17:30,77143,0,,,,,,,,,,77143,1,
2022-03-01 18:00:00+09:00,0,0,0,0,0,1/3/2022 18:00,77155,0,,,,,,,,,,77155,0,
2022-03-01 18:30:00+09:00,0,0,0,0,0,1/3/2022 18:30,78571,0,,,,,,,,,,78571,0,
2022-03-01 19:00:00+09:00,0,0,0,0,0,1/3/2022 19:00,74823,0,,,,,,,,,,74823,0,
2022-03-01 19:30:00+09:00,0,0,0,0,0,1/3/2022 19:30,76246,0,,,,,,,,,,76246,0,
2022-03-01 20:00:00+09:00,0,0,0,0,0,1/3/2022 20:00,73210,0,,,,,,,,,,73210,0,
2022-03-01 20:30:00+09:00,0,0,0,0,0,1/3/2022 20:30,70681,0,,,,,,,,,,70681,0,
2022-03-01 21:00:00+09:00,0,0,0,0,0,1/3/2022 21:00,69214,0,,,,,,,,,,69214,0,
2022-03-01 21:30:00+09:00,0,0,0,0,0,1/3/2022 21:30,55066,0,,,,,,,,,,55066,0,
2022-03-01 22:00:00+09:00,0,0,0,0,0,1/3/2022 22:00,40608,0,,,,,,,,,,40608,0,
2022-03-01 22:30:00+09:00,0,0,0,0,0,1/3/2022 22:30,39722,0,,,,,,,,,,39722,0,
2022-03-01 23:00:00+09:00,0,0,0,0,0,1/3/2022 23:00,35235,0,,,,,,,,,,35235,0,
2022-03-01 23:30:00+09:00,0,0,0,0,0,1/3/2022 23:30,38119,0,,,,,,,,,,38119,0,
2022-03-02 00:00:00+09:00,0,0,0,0,0,2/3/2022 0:00,37520,0,,,,,,,,,,37520,0,
2022-03-02 00:30:00+09:00,0,0,0,0,0,2/3/2022 0:30,34745,0,,,,,,,,,,34745,0,
2022-03-02 01:00:00+09:00,0,0,0,0,0,2/3/2022 1:00,33287,0,,,,,,,,,,33287,0,
2022-03-02 01:30:00+09:00,0,0,0,0,0,2/3/2022 1:30,35195,0,,,,,,,,,,35195,0,
2022-03-02 02:00:00+09:00,0,0,0,0,0,2/3/2022 2:00,34427,0,,,,,,,,,,34427,0,
2022-03-02 02:30:00+09:00,0,0,0,0,0,2/3/2022 2:30,29558,0,,,,,,,,,,29558,0,
2022-03-02 03:00:00+09:00,0,0,0,0,0,2/3/2022 3:00,31016,0,,,,,,,,,,31016,0,
2022-03-02 03:30:00+09:00,0,0,0,0,0,2/3/2022 3:30,30596,0,,,,,,,,,,30596,0,
2022-03-02 04:00:00+09:00,0,0,0,0,0,2/3/2022 4:00,29914,0,,,,,,,,,,29914,0,
2022-03-02 04:30:00+09:00,0,0,0,0,0,2/3/2022 4:30,35037,0,,,,,,,,,,35037,0,
2022-03-02 05:00:00+09:00,0,0,0,0,0,2/3/2022 5:00,32199,0,,,,,,,,,,32199,0,
2022-03-02 05:30:00+09:00,0,0,0,0,0,2/3/2022 5:30,42631,0,,,,,,,,,,42631,0,
2022-03-02 06:00:00+09:00,0,3,5,0,0,2/3/2022 6:00,43507,0,,,,,,,,,,43507,8,
2022-03-02 06:30:00+09:00,1230,41,50,0,0,2/3/2022 6:30,47388,0,,,,,,,,,,47388,1321,
2022-03-02 07:00:00+09:00,5050,89,174,0,0,2/3/2022 7:00,70345,0,,,,,,,,,,70345,5313,
2022-03-02 07:30:00+09:00,9960,274,348,0,0,2/3/2022 7:30,63720,0,,,,,,,,,,63720,10582,
2022-03-02 08:00:00+09:00,15380,480,523,0,0,2/3/2022 8:00,59701,0,,,,,,,,,,59701,16383,
2022-03-02 08:30:00+09:00,20660,641,788,0,0,2/3/2022 8:30,51312,0,,,,,,,,,,51312,22089,
2022-03-02 09:00:00+09:00,25470,882,987,0,0,2/3/2022 9:00,52794,0,,,,,,,,,,52794,27339,
2022-03-02 09:30:00+09:00,29590,1050,1140,0,0,2/3/2022 9:30,51877,0,,,,,,,,,,51877,31780,
2022-03-02 10:00:00+09:00,32750,1165,1258,0,0,2/3/2022 10:00,44956,0,,,,,,,,,,44956,35173,
2022-03-02 10:30:00+09:00,35100,1246,1346,0,0,2/3/2022 10:30,42714,0,,,,,,,,,,42714,37692,
2022-03-02 11:00:00+09:00,36690,1311,1413,0,0,2/3/2022 11:00,38361,0,,,,,,,,,,38361,39414,
2022-03-02 11:30:00+09:00,19160,684,754,0,0,2/3/2022 11:30,59746,0,,,,,,,,,,59746,20598,
2022-03-02 12:00:00+09:00,37160,1368,1487,0,0,2/3/2022 12:00,37405,0,,,,,,,,,,37405,40015,
2022-03-02 12:30:00+09:00,34230,1198,1304,0,0,2/3/2022 12:30,36684,0,,,,,,,,,,36684,36732,
2022-03-02 13:00:00+09:00,9530,338,372,0,0,2/3/2022 13:00,59619,0,,,,,,,,,,59619,10240,
2022-03-02 13:30:00+09:00,4050,147,162,0,0,2/3/2022 13:30,76968,0,,,,,,,,,,76968,4359,
