,30001（Wh）,30011（Wh）,30021（Wh）,30031（Wh）,date,30101:電力量（Wh）,30101:回生電力量（Wh）,cloud(%),solar(W/m2),telop_code,telop_name,power_consumption,solar_generation
2022-03-01 00:00:00+09:00,0.0,0.0,0.0,0.0,2022-03-01 00:00:00,50201.0,0.0,,,,,50201.0,0.0
2022-03-01 00:30:00+09:00,0.0,0.0,0.0,0.0,2022-03-01 00:30:00,52129.0,0.0,,,,,52129.0,0.0
2022-03-01 01:00:00+09:00,0.0,0.0,0.0,0.0,2022-03-01 01:00:00,53018.0,0.0,,,,,53018.0,0.0
2022-03-01 01:30:00+09:00,0.0,0.0,0.0,0.0,2022-03-01 01:30:00,37823.0,0.0,,,,,37823.0,0.0
2022-03-01 02:00:00+09:00,0.0,0.0,0.0,0.0,2022-03-01 02:00:00,3897.0,0.0,,,,,3897.0,0.0
2022-03-01 02:30:00+09:00,0.0,0.0,0.0,0.0,2022-03-01 02:30:00,3182.0,0.0,,,,,3182.0,0.0
2022-03-01 03:00:00+09:00,0.0,0.0,0.0,0.0,2022-03-01 03:00:00,3190.0,0.0,,,,,3190.0,0.0
2022-03-01 03:30:00+09:00,0.0,0.0,0.0,0.0,2022-03-01 03:30:00,3207.0,0.0,,,,,3207.0,0.0
2022-03-01 04:00:00+09:00,0.0,0.0,0.0,0.0,2022-03-01 04:00:00,3206.0,0.0,,,,,3206.0,0.0
2022-03-01 04:30:00+09:00,0.0,0.0,0.0,0.0,2022-03-01 04:30:00,3223.0,0.0,,,,,3223.0,0.0
2022-03-01 05:00:00+09:00,0.0,0.0,0.0,0.0,2022-03-01 05:00:00,3285.0,0.0,,,,,3285.0,0.0
2022-03-01 05:30:00+09:00,0.0,0.0,0.0,0.0,2022-03-01 05:30:00,3282.0,0.0,,,,,3282.0,0.0
2022-03-01 06:00:00+09:00,0.0,0.0,0.0,0.0,2022-03-01 06:00:00,3416.0,0.0,,,,,3416.0,0.0
2022-03-01 06:30:00+09:00,150.0,140.0,140.0,130.0,2022-03-01 06:30:00,6799.0,0.0,,,,,6799.0,560.0
2022-03-01 07:00:00+09:00,2070.0,1920.0,1930.0,1810.0,2022-03-01 07:00:00,22814.0,299.0,,,,,22814.0,7730.0
2022-03-01 07:30:00+09:00,3160.0,2920.0,2850.0,2580.0,2022-03-01 07:30:00,64679.0,0.0,,,,,64679.0,11510.0
2022-03-01 08:00:00+09:00,3490.0,3190.0,3200.0,3040.0,2022-03-01 08:00:00,59703.0,0.0,,,,,59703.0,12920.0
2022-03-01 08:30:00+09:00,5610.0,5130.0,5120.0,4920.0,2022-03-01 08:30:00,60072.0,0.0,,,,,60072.0,20780.0
2022-03-01 09:00:00+09:00,3470.0,3180.0,3180.0,3050.0,2022-03-01 09:00:00,71772.0,0.0,,,,,71772.0,12880.0
2022-03-01 09:30:00+09:00,4420.0,4040.0,4030.0,3800.0,2022-03-01 09:30:00,65680.0,0.0,,,,,65680.0,16290.0
2022-03-01 10:00:00+09:00,8920.0,8140.0,8120.0,7570.0,2022-03-01 10:00:00,40082.0,0.0,,,,,40082.0,32750.0
2022-03-01 10:30:00+09:00,5420.0,4940.0,4910.0,4480.0,2022-03-01 10:30:00,55286.0,0.0,,,,,55286.0,19750.0
2022-03-01 11:00:00+09:00,2070.0,1890.0,1900.0,1790.0,2022-03-01 11:00:00,64700.0,0.0,,,,,64700.0,7650.0
2022-03-01 11:30:00+09:00,3500.0,3210.0,3210.0,3030.0,2022-03-01 11:30:00,60661.0,0.0,,,,,60661.0,12950.0
2022-03-01 12:00:00+09:00,5920.0,5420.0,5360.0,5040.0,2022-03-01 12:00:00,47782.0,0.0,,,,,47782.0,21740.0
