,30001（Wh）,30011（Wh）,date,30101:電力量（Wh）,30101:回生電力量（Wh）,Unnamed: 6,cloud(%),solar(W/m2),telop_code,telop_name,power_consumption,solar_generation
2022-03-01 00:00:00+09:00,0.0,0.0,2022-03-01 00:00:00,2695.0,0.0,,,,,,2695.0,0.0
2022-03-01 00:30:00+09:00,0.0,0.0,2022-03-01 00:30:00,2673.0,0.0,,,,,,2673.0,0.0
2022-03-01 01:00:00+09:00,0.0,0.0,2022-03-01 01:00:00,2635.0,0.0,,,,,,2635.0,0.0
2022-03-01 01:30:00+09:00,0.0,0.0,2022-03-01 01:30:00,2623.0,0.0,,,,,,2623.0,0.0
2022-03-01 02:00:00+09:00,0.0,0.0,2022-03-01 02:00:00,2706.0,0.0,,,,,,2706.0,0.0
2022-03-01 02:30:00+09:00,0.0,0.0,2022-03-01 02:30:00,2666.0,0.0,,,,,,2666.0,0.0
2022-03-01 03:00:00+09:00,0.0,0.0,2022-03-01 03:00:00,2682.0,0.0,,,,,,2682.0,0.0
2022-03-01 03:30:00+09:00,0.0,0.0,2022-03-01 03:30:00,2701.0,0.0,,,,,,2701.0,0.0
2022-03-01 04:00:00+09:00,0.0,0.0,2022-03-01 04:00:00,2721.0,0.0,,,,,,2721.0,0.0
2022-03-01 04:30:00+09:00,0.0,0.0,2022-03-01 04:30:00,2644.0,0.0,,,,,,2644.0,0.0
2022-03-01 05:00:00+09:00,0.0,0.0,2022-03-01 05:00:00,2732.0,0.0,,,,,,2732.0,0.0
2022-03-01 05:30:00+09:00,0.0,0.0,2022-03-01 05:30:00,2700.0,0.0,,,,,,2700.0,0.0
2022-03-01 06:00:00+09:00,0.0,0.0,2022-03-01 06:00:00,3534.0,0.0,,,,,,3534.0,0.0
2022-03-01 06:30:00+09:00,320.0,320.0,2022-03-01 06:30:00,10732.0,0.0,,,,,,10732.0,640.0
2022-03-01 07:00:00+09:00,1160.0,4230.0,2022-03-01 07:00:00,6252.0,0.0,,,,,,6252.0,5390.0
