,30001（Wh）,30011（Wh）,30021（Wh）,30031（Wh）,30041（Wh）,date,30101:電力量（Wh）,30101:回生電力量（Wh）,Unnamed: 9,40001 蓄電（Wh）,40001 放電（Wh）,40201 蓄電（Wh）,40201 放電（Wh）,cloud(%),solar(W/m2),telop_code,telop_name,power_consumption,solar_generation,battery
2022-03-01 00:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 00:00:00,34618.0,0.0,,,,,,,,,,34618.0,0.0,
2022-03-01 00:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 00:30:00,33863.0,0.0,,,,,,,,,,33863.0,0.0,
2022-03-01 01:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 01:00:00,32030.0,0.0,,,,,,,,,,32030.0,0.0,
2022-03-01 01:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 01:30:00,32155.0,0.0,,,,,,,,,,32155.0,0.0,
2022-03-01 02:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 02:00:00,30584.0,0.0,,,,,,,,,,30584.0,0.0,
2022-03-01 02:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 02:30:00,30026.0,0.0,,,,,,,,,,30026.0,0.0,
2022-03-01 03:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 03:00:00,29734.0,0.0,,,,,,,,,,29734.0,0.0,
2022-03-01 03:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 03:30:00,30021.0,0.0,,,,,,,,,,30021.0,0.0,
2022-03-01 04:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 04:00:00,28664.0,0.0,,,,,,,,,,28664.0,0.0,
2022-03-01 04:30:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 04:30:00,32344.0,0.0,,,,,,,,,,32344.0,0.0,
2022-03-01 05:00:00+09:00,0.0,0.0,0.0,0.0,0.0,2022-03-01 05:00:00,31200.0,0.0,,,,,,,,,,31200.0,0.0,
